,Distribution South,Distribution North,The Warehouse Atrium,The Warehouse Newmarket,The Warehouse Royal Oak,The Warehouse St Lukes,The Warehouse Mt Roskill,The Warehouse Lunn Avenue,The Warehouse Sylvia Park,The Warehouse New Lynn,The Warehouse Glenfield Mall,The Warehouse WestCity,The Warehouse Westgate,The Warehouse Lincoln Road,The Warehouse Milford,The Warehouse Albany,The Warehouse Pakuranga,The Warehouse Botany Downs,The Warehouse Manukau,The Warehouse Airport,The Warehouse Clendon,The Warehouse Takanini,Noel Leeming Penrose Clearance,Noel Leeming Lunn Avenue,Noel Leeming Sylvia Park,Noel Leeming Newmarket,Noel Leeming Royal Oak,Noel Leeming Botany,Noel Leeming Queen Street,Noel Leeming St Lukes Westfield,Noel Leeming St Lukes Mega,Noel Leeming New Lynn,Noel Leeming Glenfield Clearance,Noel Leeming Wairau Park,Noel Leeming Henderson,Noel Leeming Albany,Noel Leeming Massey,Noel Leeming Ormiston,Noel Leeming Papatoetoe,Noel Leeming Manukau Supa Centre,Noel Leeming Manukau Westfield,Noel Leeming Papakura
Noel Leeming Sylvia Park,16357.01,19403.59,12057.07,11144.32,11282.33,16192.65,21592.66,4979.76,47.99,20989.54,25480.94,24950.53,27737.06,25416.42,23129.6,28736.84,5046.73,12113.84,10451.66,24418.43,18093.38,18425.85,2869.01,5018.6,0,8855.01,9220.32,12855.07,12372.86,16094.51,16246.36,21341.3,22835.15,22835.15,25495.64,28451.02,27539.64,14151.16,7628.24,10956.76,10937.15,22565.5
Noel Leeming Newmarket,23798.56,11409.35,4062.82,875,5255.45,8198.41,13598.42,7186.48,8771.25,12995.29,17486.7,16956.29,19742.82,17422.17,15135.36,20742.6,11351.95,15777.72,17893.22,17382.76,25534.93,25867.41,6966.47,7147.73,8723.26,0,5379.1,15720.39,4378.61,8100.27,8252.11,13347.05,14840.9,14840.9,17501.39,20456.78,19545.4,21592.71,15069.79,18398.31,18378.71,30007.06
Noel Leeming Royal Oak,15652.73,15532.68,8186.16,6077.49,119.7,6203.09,4635.98,7597.56,8403.13,10807.7,21610.03,18343.53,21130.06,18809.42,19258.69,24865.93,10080.03,14505.8,15900.74,11731.26,17389.1,24272.38,5440.18,7558.81,8355.15,5388.08,0,14448.47,8501.94,6387.44,6256.8,10231.72,18964.23,18964.23,18888.64,24580.11,20932.64,21818.06,15685.14,15938.66,15978.52,28412.03
Noel Leeming Botany,14335.27,26452.54,19106.01,18193.26,14657.91,23241.6,27420.59,9682.39,8904.81,28038.48,32529.89,31999.48,34786,32465.36,30178.54,35785.79,4890.65,234.7,8375.14,22396.69,16071.64,16409.14,10355.54,9721.23,9172.58,15903.95,14538.21,0,19421.8,23143.46,23295.3,28390.24,29884.09,29884.09,32544.58,35499.96,34588.59,5413.54,8228.9,8880.24,8642.21,20548.8
Noel Leeming Queen Street,27275.52,8243.46,606.65,4465.78,8428.71,7737.24,13137.25,10663.44,12248.21,12534.12,14320.81,16495.12,19281.65,16961,11969.47,17576.71,14828.91,19254.69,21370.18,26912.84,29011.89,29344.37,10443.43,10624.69,12200.22,3992.51,8552.35,19197.35,0,7639.09,7790.94,12885.88,11675.02,11675.02,17040.22,17290.89,19084.23,25069.68,18546.76,21875.28,21855.67,33484.02
Noel Leeming St Lukes Westfield,22570.97,14177.77,5539.38,6567.09,6144.77,405.2,3917.78,15288.45,16873.22,8151.79,20255.12,12758.47,15545,13224.36,17903.78,23511.02,19453.92,23879.69,22818.98,18649.5,24307.34,31190.62,15068.44,15249.7,16825.23,5543.57,6268.42,23822.36,8431.59,0,458.91,7575.81,17609.32,17609.32,13303.58,23225.2,15347.58,29694.68,23171.76,22856.9,22896.77,35330.27
Noel Leeming St Lukes Mega,22774.5,14261.01,5547.4,9174.03,6348.3,293.44,4121.31,15371.69,16956.46,7729.45,20338.36,12718.6,15505.13,13184.49,17987.02,23594.26,19537.16,23962.93,23022.52,18853.03,24510.87,31394.15,15151.68,15332.94,16908.47,8700.75,6471.95,23905.6,8514.83,575.69,0,7153.47,17692.56,17692.56,13263.71,23308.44,15307.71,29777.92,23255.01,23060.43,23100.3,35533.8
Noel Leeming New Lynn,23765.14,19677.03,14027.94,14590.05,10081.03,7103.24,6078.33,20787.71,22372.48,1018.82,25754.38,7639.93,14616.63,12295.99,23403.04,30873.34,24953.18,29378.96,24013.16,19843.68,25501.52,32384.79,16211.25,20748.96,22324.49,14116.78,10200.73,32324.14,13930.86,7287.59,7156.94,0,23108.59,23108.59,12375.21,30587.52,14419.21,29930.48,23797.56,24051.08,24090.94,36524.45
Noel Leeming Glenfield Clearance,38164,5248.31,12380.74,15354.26,19317.19,17432.79,22832.8,21551.92,23136.69,22229.68,3322.99,26501.34,17398.39,22659.24,4255.1,7201.11,25717.39,30143.17,32258.66,36608.39,39900.38,40232.85,21331.91,21513.17,23088.7,14880.99,19440.83,30085.83,11804.95,17334.65,17486.49,22581.43,0,0,22738.46,6915.29,17200.97,35958.16,29435.24,32763.76,32744.15,44372.5
Noel Leeming Wairau Park,38164,5248.31,12380.74,15354.26,19317.19,17432.79,22832.8,21551.92,23136.69,22229.68,3322.99,26501.34,17398.39,22659.24,4255.1,7201.11,25717.39,30143.17,32258.66,36608.39,39900.38,40232.85,21331.91,21513.17,23088.7,14880.99,19440.83,30085.83,11804.95,17334.65,17486.49,22581.43,0,0,22738.46,6915.29,17200.97,35958.16,29435.24,32763.76,32744.15,44372.5
Noel Leeming Henderson,32876.31,26450.02,17473.86,18035.97,19192.19,14410.27,15179.25,24233.63,25818.4,8445.13,25365.29,2151.92,6503.29,107.01,26813.8,22760,28399.1,32824.88,33124.32,28954.84,34612.68,42914.56,24013.63,24194.88,25770.41,17562.7,19311.89,32767.54,17376.78,14312.13,14463.98,12752.42,22701.59,22701.59,0,22474.18,6305.87,38639.87,32116.95,33162.24,33202.11,47054.21
Noel Leeming Albany,44178.25,11262.55,18394.98,21368.5,25331.43,23447.03,28847.04,27566.16,29150.93,31132.85,10177.82,27089.46,17986.51,23247.36,11626.33,463.94,31731.63,36157.41,38272.9,42622.63,45914.62,46247.09,27346.16,27527.41,29102.95,20895.23,25455.07,36100.07,17819.19,23348.89,23500.74,31484.6,7514.12,7514.12,23326.58,0,17789.1,41972.4,35449.48,38778,38758.39,50386.74
Noel Leeming Massey,34738.66,20776.78,19336.21,19898.32,21054.54,16272.63,17041.6,26095.98,27680.75,14263.02,19692.04,10219.63,196.98,6377.53,21140.56,17086.75,30261.46,34687.23,34986.67,30817.19,36475.03,44776.91,25875.97,26057.23,27632.77,19425.05,21174.24,34629.89,19239.13,16174.48,16326.33,14614.77,17028.35,17028.35,6456.75,16800.93,0,40502.21,33979.3,35024.59,35064.45,48916.56
Noel Leeming Ormiston,11473.65,28951.03,21604.5,20691.75,22137.82,25740.09,24558.97,15184.21,11188.43,30730.7,35028.38,34497.96,37284.5,34963.85,32677.04,38284.28,9098.59,4768.6,5513.52,19535.07,13210.02,12990.38,15253.52,15223.05,11140.44,18402.44,22257.52,5058.47,21920.29,25641.95,25793.79,30154.71,32382.58,32382.58,35043.07,37998.46,37087.08,0,5565.7,6018.62,5780.59,14248.56
Noel Leeming Papatoetoe,6954.02,25400.65,18054.13,17141.38,15784.77,22189.71,18205.93,11633.83,7638.05,26986.6,31478,30947.59,33734.12,31413.47,29126.66,34733.9,10980.33,7745.47,3179.22,13182.03,8690.39,13198.56,11703.15,11672.67,7590.06,14852.07,15904.47,7603.62,18369.91,22091.57,22243.41,23801.67,28832.2,28832.2,31492.7,34448.08,33536.7,5950.01,0,3336.71,4155.08,17338.21
Noel Leeming Manukau Supa Centre,4705.52,28849.77,21503.25,20590.5,16283.26,23228.44,18704.42,15082.95,11087.17,24876.14,34927.12,32411.97,35198.5,32877.86,32575.78,38183.02,14429.45,8996.24,733.74,13680.52,6441.89,10263.4,15152.27,15121.79,11039.18,18301.19,16402.96,8854.38,21819.04,23412.79,23282.14,24300.16,32281.33,32281.33,32957.08,37897.2,35001.09,6460.72,3375.57,0,1465.83,14403.06
Noel Leeming Manukau Westfield,3755.56,28589.89,21243.37,20330.62,16262.75,25378.95,18683.91,14823.07,10827.29,24855.63,34667.24,34136.83,36923.36,34602.72,32315.9,37923.14,14169.57,8665.57,927.06,13660.01,6314.91,9028,14892.39,14861.92,10779.31,18041.31,16382.45,8523.72,21559.16,25280.81,25432.66,24279.65,32021.45,32021.45,34681.94,37637.32,36725.95,5767.72,5621.63,1502.01,0,13167.66
Noel Leeming Papakura,18332.65,41095.04,33748.52,32835.77,28996.82,37884.1,31417.98,27328.22,23332.44,37589.7,47172.39,46641.98,49428.51,47107.87,44821.05,50428.29,26674.72,18458.56,14424.22,26394.08,11964.4,2995.32,27397.54,27367.06,23284.46,30546.46,29116.52,21620.88,34064.3,37785.96,37937.81,37013.72,44526.6,44526.6,47187.09,50142.47,49231.09,14511.24,18126.78,14833.74,13717.43,0
