,Distribution South,Distribution North,The Warehouse Atrium,The Warehouse Newmarket,The Warehouse Royal Oak,The Warehouse St Lukes,The Warehouse Mt Roskill,The Warehouse Lunn Avenue,The Warehouse Sylvia Park,The Warehouse New Lynn,The Warehouse Glenfield Mall,The Warehouse WestCity,The Warehouse Westgate,The Warehouse Lincoln Road,The Warehouse Milford,The Warehouse Albany,The Warehouse Pakuranga,The Warehouse Botany Downs,The Warehouse Manukau,The Warehouse Airport,The Warehouse Clendon,The Warehouse Takanini,Noel Leeming Penrose Clearance,Noel Leeming Lunn Avenue,Noel Leeming Sylvia Park,Noel Leeming Newmarket,Noel Leeming Royal Oak,Noel Leeming Botany,Noel Leeming Queen Street,Noel Leeming St Lukes Westfield,Noel Leeming St Lukes Mega,Noel Leeming New Lynn,Noel Leeming Glenfield Clearance,Noel Leeming Wairau Park,Noel Leeming Henderson,Noel Leeming Albany,Noel Leeming Massey,Noel Leeming Ormiston,Noel Leeming Papatoetoe,Noel Leeming Manukau Supa Centre,Noel Leeming Manukau Westfield,Noel Leeming Papakura
The Warehouse Glenfield Mall,2966.79,774.84,1353.39,1463.44,1863.29,1684.1,1955.96,1957.08,1977.1,2129.13,0,2122.6,1294.43,1789.64,781.72,922,2177.2,2752.66,2533.44,2819.29,3182.99,3054.65,1855.4,1950.11,1968.47,1383.39,1858.64,2743.99,1244.12,1681.09,1716.81,2161.13,390.86,390.86,1806.84,890.96,1262.04,2945.09,2389.24,2605.78,2553.26,3293.56
The Warehouse WestCity,2649.95,2027.27,1674.17,1684.24,1716.96,1516.87,1453.31,2177.88,2197.9,712.51,2328.8,0,1042.91,348.55,2472.59,2128.97,2397.99,2973.46,2545.1,2316.65,2866.15,3275.45,2076.2,2170.9,2189.26,1604.19,1738.5,2964.78,1639.44,1513.85,1549.58,904.71,2027.86,2027.86,365.75,2097.93,1010.52,3165.89,2610.04,2571.53,2539.96,3514.36
The Warehouse Westgate,2572.3,1474.83,1596.52,1606.59,1639.31,1439.22,1375.67,2100.23,2120.25,1377.88,1491.81,1123.04,0,790.08,1635.6,1291.97,2320.35,2895.81,2467.45,2239,2788.5,3197.8,1998.55,2093.26,2111.62,1526.54,1660.85,2887.14,1561.8,1436.2,1471.93,1409.88,1190.86,1190.86,807.28,1260.93,36.1,3088.24,2532.39,2493.89,2462.31,3436.71
The Warehouse Lincoln Road,2550.17,1950.38,1574.39,1584.46,1617.18,1417.09,1353.54,2078.1,2098.12,1066.16,1967.35,356.86,681.46,0,2111.14,1767.52,2298.21,2873.68,2445.32,2216.87,2766.37,3175.67,1976.42,2071.12,2089.49,1504.41,1638.72,2865,1539.66,1414.07,1449.8,1387.74,1666.41,1666.41,24.61,1736.48,649.07,3066.11,2510.26,2471.75,2440.18,3414.58
The Warehouse Milford,2854.87,662.92,1241.47,1351.53,1751.37,1572.18,1844.04,1845.16,1865.19,2017.21,797.63,2375.58,1547.4,2042.61,0,1014.97,2065.28,2640.74,2421.52,2707.37,3071.07,2942.73,1743.48,1838.19,1856.55,1271.47,1746.72,2632.07,1132.2,1569.17,1604.9,2049.21,509.34,509.34,2059.81,983.93,1515.01,2833.17,2277.32,2493.86,2441.34,3181.64
The Warehouse Albany,3126,934.05,1512.6,1622.66,2022.5,1843.31,2115.17,2116.29,2136.32,2433.25,951.03,2178.41,1350.24,1845.45,1094.82,0,2336.41,2911.87,2692.65,2978.5,3342.2,3213.86,2014.61,2109.32,2127.68,1542.6,2017.85,2903.2,1403.33,1840.3,1876.03,2465.25,650.08,650.08,1862.65,88.81,1317.85,3104.3,2548.46,2764.99,2712.48,3452.77
The Warehouse Pakuranga,1763.05,1709.02,1291.36,1193.38,1124.18,1528.15,1800.01,667.58,606.4,1973.18,2182.22,2268.04,2211.02,2206.95,2135.19,2356.56,0,629.63,1329.7,1751.07,1979.25,1850.91,611.78,674.57,657.76,1014.18,1102.64,620.95,1265.82,1525.14,1560.86,2005.18,1888.64,1888.64,2224.15,2325.53,2178.63,1143.09,1185.5,1402.04,1349.52,2089.82
The Warehouse Botany Downs,1502.82,2215.63,1797.97,1699.99,1630.79,2034.77,2266.45,1216.38,1113.01,2479.79,2688.83,2774.65,2717.63,2713.56,2641.81,2863.18,590.62,0,1000.62,1946.7,1719.02,1624.34,1118.39,1223.37,1164.37,1520.79,1609.25,43.54,1772.43,2031.75,2067.48,2511.79,2395.25,2395.25,2730.76,2832.14,2685.24,692.36,1085.65,1072.95,1036.02,1863.25
The Warehouse Manukau,645.11,2049.54,1631.89,1533.9,1303.09,1868.68,1408.74,1287.88,934.77,1963.19,2522.75,2469.13,2412.11,2408.04,2475.72,2697.09,1276.87,1004.29,0,1088.99,861.31,921.18,1147.45,1294.87,926.13,1354.7,1324.63,989.94,1606.35,1865.66,1901.39,1922.39,2229.16,2229.16,2425.24,2666.05,2379.72,773.47,375.16,144.06,130.24,1160.09
The Warehouse Airport,1070.81,2303.84,1950.74,1960.81,989.02,1459.21,1094.67,1769.06,1803.91,1649.11,2777.04,2155.05,2098.03,2093.97,2730.02,2951.39,1766.63,2007.81,1040.53,0,1287.01,1672.91,1328.89,1793.48,1795.27,1880.76,1010.56,1993.45,1916.01,1478.73,1491.92,1608.31,2483.46,2483.46,2111.16,2920.35,2065.64,1776.98,1034.29,1026.83,1035.39,1911.82
